name,code,latitude,longitude
Гатчинский район,41218,59.468288,30.189834
Киришский район,41224,59.437722,32.382811
Александровский район,86016,59.418316,57.836323
Кингисепский район,41221,59.410564,28.704183
Кадуйский район,19226,59.405746,36.911002
Березниковский район,86002,59.4057,56.804868
Усольский район,86001,59.381362,56.281177
Тосненский район,41248,59.372034,31.017569
Волосовский район,41206,59.368573,29.477848
Юрлинский район,89006,59.355131,54.232524
Мурашинский район,33224,59.34196,48.724711
Вологодский район,31922,59.318586,39.476672
Междуреченский район,19232,59.311041,41.267418
Шекснинский район,19258,59.251843,38.637537
Вологда,19401,59.220496,39.891523
Каргасокский,69224,59.218645,79.924144
Новолялинский,65229,59.199408,59.976236
Верхнекетский,69216,59.182123,86.311938
Вохомский район,34206,59.163792,46.635939
Сланцевский район,41242,59.155184,28.314251
Череповец,19430,59.127415,37.906929
Чудовский район,49250,59.120326,31.808679
Губахинский район,86025,59.117698,56.225679
Павинский район,34232,59.108828,46.142809
пос. Палана,30132657,59.0843,159.953705
Чагодощенский район,19254,59.068965,35.502561
Юсьвинский район,89008,59.053836,55.511132
Солигаличский район,34240,59.052572,42.198855
Любытинский район,49216,59.034954,33.333713
Кизеловский район,86031,59.032866,58.055323
Даровской район,33212,59.016188,47.876279
Череповецкий район,19256,59.006485,37.960307
Октябрьский район,34228,59.004581,47.130031
Юрьянский район,33249,59.000567,49.478308
Белохолуницкий район,33205,58.984772,51.208032
Кудымкарский район,89007,58.959032,54.164082
Кологривский район,34212,58.947007,44.185614
Уватский район,712481,58.909246,71.42945
Гремячинский район,86022,58.906597,58.24511
Хвойнинский район,49245,58.905886,34.481895
Пыщугский район,34238,58.905398,45.623933
Чухломский район,34246,58.897709,42.998607
Устюженский район,19250,58.887481,36.390051
Афанасьевский район,33203,58.88623,53.262793
Грязовецкий район,19224,58.881263,40.64282
Межевской район,34222,58.8684,45.019349
Слободской район,33235,58.847476,50.156248
Таборинский р-н,65245,58.826389,64.43285
Лужский район,41233,58.826217,29.654618
Кежемский район,4224,58.817868,100.708617
Маловишерский район,49220,58.81592,32.40746
Омутнинский район,33228,58.809992,52.307183
Алданский район,98203,58.731975,127.882403
Верхотурский,65212,58.707503,61.134712
Качканарский,654481,58.707438,59.468283
Орловский район,33245,58.697564,48.783955
Богучанский район,4209,58.678772,97.500635
Ильинский район,85947,58.645747,55.764251
Лесной,655421,58.635513,59.79863
Нижняя Тура,654781,58.631035,59.85216
Добрянский район,86028,58.624302,56.660716
Пестовский район,49232,58.611879,35.649974
Буйский район,34204,58.604716,41.505131
Киров,33401,58.603581,49.667978
Батецкий район,49203,58.599221,30.485542
