id,date,total_death_missing,location,lat,lon,collapsed_region,region,collapsed_cause,cause_of_death
3965,13-Mar-2018,1,Egyptian Libyan border,28.955282,24.995294,Africa,North Africa,Sickness,Sickness and lack of access to medicines
3966,13-Mar-2018,1,"Koro, Mali",14.62564,-7.98554,Africa,Sub-Saharan Africa,Shooting,Shot or stabbed
3967,13-Mar-2018,1,"San, Mali",13.30658,-4.89249,Africa,Sub-Saharan Africa,Sickness,Sickness and lack of access to medicines
3968,14-Mar-2018,1,"Train tracks near San Mateo Ixtacalco, Cuautitlán, Estado de México, Mexico",19.70172414,-99.17503129,Central America,Central America,Accident,Hit by train
3969,15-Mar-2018,12,Alboran Sea between Morocco and Spain,35.51997054,-2.645016567,Mediterranean,Mediterranean,Drowning,Presumed drowning
3970,15-Mar-2018,1,"Railai Para area of Kuruk Pata village, Ali Kadam upazila, Bandarban district, Bangladesh near border with Myanmar",21.67598181,92.60315881,Asia,Southeast Asia,Violence,Killed by landmine blast
3971,15-Mar-2018,1,"Unspecified location near Sarita, Kennedy County, Texas, USA",27.2217001,-97.7893059,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown
3972,16-Mar-2018,1,"Playa de la Madera, Tinajo, Lanzarote, Canary Islands",29.0620864,-13.7746296,Africa,North Africa,Drowning,Presumed drowning
3973,16-Mar-2018,1,"Sahara desert, Libya",22.223005,22.799039,Africa,North Africa,Starvation / Dehydration,"Starvation, Dehydration"
3974,16-Mar-2018,1,"Sahara desert, Libya",22.019453,22.623337,Africa,North Africa,Sickness,"Sickness and lack of access to medicines, Dehydration, Harsh weather/lack of adequate shelter"
3975,16-Mar-2018,1,"Agadez, Niger",16.975204,7.965108,Africa,Sub-Saharan Africa,Unknown / Other,Unknown
3976,17-Mar-2018,19,"Unspecified location off the coast of Agathonisi, Greece",37.46285574,27.01084007,Mediterranean,Mediterranean,Drowning,Drowning
3977,17-Mar-2018,3,"Near kilometer marker 77, Asia Highway 32, Tambon Ban Paeng, Sing Buri Province, Thailand",14.811862,100.4481117,Asia,Southeast Asia,Accident,Vehicle Accident
3978,17-Mar-2018,2,"Highway near Xanthi, Greece, near border with Bulgaria",41.15214243,24.88752017,Europe,Europe,Accident,Vehicle Accident
3979,17-Mar-2018,1,"Sahara desert, Libya",24.224424,13.97241,Africa,North Africa,Starvation / Dehydration,"Starvation, Dehydration, Suffocation"
3980,17-Mar-2018,1,"Sikasso, Mali",11.31537,-5.66546,Africa,Sub-Saharan Africa,Accident,Vehicle Accident
3981,18-Mar-2018,2,"Ouahigouya, Burkina Faso",13.57453,-2.41366,Africa,Sub-Saharan Africa,Accident,Vehicle Accident
3982,18-Mar-2018,1,"Body recovered on a beach in Rota, Cádiz, Spain",36.61900306,-6.364435634,Mediterranean,Mediterranean,Drowning,Drowning
3983,18-Mar-2018,1,Unspecified location in the Río Bravo,28.77543116,-100.5325561,US-Mexico Border,US-Mexico Border,Drowning,Drowning
3984,18-Mar-2018,1,"Sahara desert, Libya",23.800424,18.143748,Africa,North Africa,Sickness,Sickness and lack of access to medicines
3985,18-Mar-2018,1,"Koro, Mali",14.063995,-3.08025,Africa,Sub-Saharan Africa,Sickness,Sickness and lack of access to medicines
3986,19-Mar-2018,3,"Bodies found on beach in Taiwan's eastern coast, between Pingtung and Taitung County",22.23708569,120.9552538,Asia,East Asia,Drowning,Presumed drowning
3987,19-Mar-2018,2,"Unspecified location near border, Iran",33.315683,59.991135,Asia,South Asia,Mixed,"Dehydration, Shot or stabbed"
3988,19-Mar-2018,2,"Unspecified location near border, Iran",27.684568,62.705671,Asia,South Asia,Starvation / Dehydration,"Starvation, Shot or stabbed"
3989,19-Mar-2018,1,"West Bengal, India",22.904814,87.914411,Asia,South Asia,Asphyxiation,Suffocation
3990,19-Mar-2018,1,"Sahara desert, Libya",23.311991,18.01001,Africa,North Africa,Sickness,Sickness and lack of access to medicines
3991,19-Mar-2018,1,"Segou, Mali",13.436756,-6.242715,Africa,Sub-Saharan Africa,Sickness,Sickness and lack of access to medicines
3992,20-Mar-2018,2,"Bandiagara, Mali",14.35127,-3.60804,Africa,Sub-Saharan Africa,Violence,Excessive Physical Abuse
3993,20-Mar-2018,1,"Body found on the shore of Tripoli, Libya",32.90839706,13.25674128,Mediterranean,Mediterranean,Drowning,Presumed drowning
3994,20-Mar-2018,1,"Cage Ranch, Brooks County, Texas, USA",27.0645936,-98.1443491,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown
3995,20-Mar-2018,1,"Akti Drimeon Avenue in Patras, Greece",38.277998,21.764864,Europe,Europe,Accident,Hit by vehicle
3996,20-Mar-2018,1,"Agadez, Niger",16.975204,7.965108,Africa,Sub-Saharan Africa,Sickness,Sickness and lack of access to medicines
