pub_ID,pub_name,pub_town
11286,The Spicy Swan,Bradwell
11287,The Swan,Rayne
1129,The Harvest Home,Houghton Regis
11291,The White Hart,Braintree
11293,Three Tuns Inn,Finchingfield
11294,The Vine Inn,Black Notley
11295,The Vine,Great Bardfield
11296,Wagon & Horses,Braintree
11297,The Welsh Princess,Rayne
11299,The Willows Freehouse,Cressing
113,The New Inn,Bath
1132,Horse & Jockey,Kensworth
1134,The Kings Arms,Houghton Regis
11368,The Anchor,Chelmsford
11369,The Anchor,Danbury
11370,The Angel,Broomfield
11371,The Bakers Arms,Danbury
11372,The Bay Horse,Chelmsford
11376,The Rettendon Bell,Rettendon Common
11377,The Bell,Purleigh
11380,The Black Bull,Chelmsford
11382,Blue Lion,Great Baddow
11383,The William B,Hatfield Peverel
11385,Brewers Arms,Bicknacre
11387,The Chelmer Inn,Chelmsford
11389,The Chequers Inn,Roxwell
1139,The Oddfellows Arms,Toddington
11390,The Clay Pigeon,Chelmsford
11392,The Blue Bridge,Writtle
11394,The Compasses,Chelmsford
11395,Cricketers Arms,Danbury
11396,The Cricketers,Chelmsford
11397,The Cross Keys,Hatfield Peverel
11398,Crown,Sandon
11399,The Curlew,South Woodham Ferrers
114,The Victoria,Bath
1140,The Old Farm Inn,Totternhoe
11400,The Dog & Gun,Little Waltham
11401,The Dog & Partridge,Great Leighs
11402,Duke Of Wellington,Hatfield Peverel
11403,Eagle & Hind,Chelmsford
11404,The Eagle,Chelmsford
11405,The Endeavour,Chelmsford
11406,The Railway,South Woodham Ferrers
11407,The Flyer,Chelmsford
11408,The Fox & Goose,Cooksmill Green
11409,Fox & Hounds,Cock Clarks
11410,Fox & Raven,Chelmsford
11411,Hardy's Bar,Mayland
11412,The Rose & Crown,Great Waltham
11415,The Griffin,Danbury
11416,The Hare,Roxwell
11417,Horse & Groom,Writtle
11418,Huntsman & Hounds,Althorne
1142,Old Red Lion,Houghton Regis
11420,The Kings Arms,Broomfield
11421,The Kings Head,Great Baddow
11422,The Leather Bottle,Pleshey
11423,Red Lion,Latchingdon
11426,The Nags Head,Chelmsford
11428,The Norton,Cold Norton
11429,The Oddfellows Arms,Chelmsford
1143,The Old Sugar Loaf,Dunstable
11430,The Orange Tree,Chelmsford
11431,The Plough,Chelmsford
11432,The Queen's Head,Chelmsford
11433,Pig & Whistle,Chignal Smealey
11436,O'Connors,Chelmsford
11437,The Prince of Wales,Stow Maries
11438,The Queens Head,Boreham
11439,The Golden Fleece,Chelmsford
1144,The Old Sun,Harlington
11440,The Red Beret,Chelmsford
11441,The Lion,Boreham
