word,John,Luke,Mark,Matthew
eateth,0.0010313531353135313,1.3871549452073797e-4,4.899559039686428e-4,1.4734050390452334e-4
elias,4.1254125412541255e-4,0.0011097239561659038,0.002204801567858893,0.0013260645351407102
enter,6.188118811881188e-4,0.0023581634068525455,0.0034296913277804997,0.002504788566376897
entered,0.0014438943894389438,0.0024968789013732834,0.002939735423811857,7.367025195226168e-4
entereth,4.1254125412541255e-4,1.3871549452073797e-4,7.349338559529642e-4,1.4734050390452334e-4
esaias,8.250825082508251e-4,2.7743098904147595e-4,2.449779519843214e-4,8.840430234271402e-4
eternal,0.0018564356435643563,2.7743098904147595e-4,7.349338559529642e-4,2.946810078090467e-4
evening,2.0627062706270627e-4,1.3871549452073797e-4,2.449779519843214e-4,4.420215117135701e-4
evil,0.0014438943894389438,0.0019420169232903315,0.0014698677119059284,0.002946810078090467
eyes,0.0037128712871287127,0.0012484394506866417,0.0014698677119059284,0.0017680860468542803
